GDGT-0,GDGT-1,GDGT-2,GDGT-3,Crenarchaeol,Cren',Sea Surface Temp
0.411,0.0211,0.0129,0.0074,0.5408,0.0067,3
0.4537,0.0191,0.0055,0.0045,0.5133,0.0038,3.2
0.4491,0.018,0.0052,0.0044,0.5183,0.0049,3.2
0.5001,0.0218,0.0057,0.0042,0.4641,0.0041,3.3
0.485,0.0217,0.0062,0.0045,0.4782,0.0043,3.3
0.4965,0.0358,0.0139,0.0097,0.4392,0.0049,3.3
0.4871,0.034,0.0137,0.0082,0.4524,0.0046,3.3
0.4941,0.0457,0.0186,0.011,0.4258,0.0048,3.3
0.4859,0.0464,0.0213,0.0103,0.4297,0.0064,3.3
0.4697,0.0199,0.0079,0.0049,0.494,0.0036,3.4
0.4646,0.0232,0.0079,0.0067,0.4926,0.0049,3.6
0.5596,0.0176,0.0053,0.0031,0.4126,0.0017,3.7
0.55,0.0172,0.0052,0.003,0.4225,0.002,3.8
0.5312,0.0328,0.0107,0.0035,0.4165,0.0052,3.8
0.5527,0.021,0.0062,0.0032,0.4143,0.0025,4.7
0.5515,0.0198,0.0058,0.0031,0.4178,0.0021,4.8
0.5642,0.0242,0.0068,0.0034,0.3991,0.0022,4.8
0.5517,0.0195,0.0057,0.0031,0.4178,0.0023,5
0.5574,0.0261,0.0077,0.0037,0.4023,0.0028,5
0.5336,0.0275,0.0078,0.0035,0.4238,0.0038,5.3
0.5681,0.0274,0.0084,0.0037,0.3898,0.0026,5.4
0.5436,0.0282,0.0085,0.0042,0.4126,0.0031,5.4
0.5183,0.0256,0.0078,0.0037,0.4415,0.003,5.5
0.5486,0.0281,0.0091,0.0042,0.4072,0.0028,5.7
0.5295,0.0234,0.007,0.0035,0.4339,0.0028,5.8
0.5492,0.0329,0.0092,0.0042,0.4016,0.003,5.9
0.5421,0.0341,0.0104,0.0047,0.4057,0.0029,6.2
0.5258,0.0389,0.0118,0.0053,0.4145,0.0037,6.4
0.5419,0.0398,0.0117,0.0053,0.3975,0.0038,6.6
0.5504,0.0386,0.0135,0.0038,0.3704,0.0233,6.9
0.528,0.0321,0.0098,0.0035,0.4216,0.0049,8
0.5303,0.0337,0.0109,0.0036,0.4167,0.0048,8.6
0.5431,0.019,0.0057,0.0032,0.4267,0.0024,8.6
0.5262,0.0368,0.013,0.0039,0.4145,0.0056,8.6
0.5356,0.0273,0.0113,0.0038,0.4192,0.0028,6.3
0.4967,0.0204,0.0049,0.0025,0.4724,0.003,5.3
0.5002,0.0145,0.0045,0.0026,0.4763,0.0019,6.8
0.4826,0.0197,0.0051,0.0025,0.487,0.0031,6.8
0.4794,0.0181,0.0048,0.0025,0.4917,0.0035,8.7
0.447,0.0356,0.0165,0.003,0.4891,0.0088,4.6
0.4577,0.0751,0.0421,0.0032,0.4101,0.0118,4.6
0.4948,0.0346,0.0172,0.004,0.4445,0.0049,9.1
0.4901,0.0251,0.0099,0.0035,0.467,0.0043,9.1
0.4901,0.0251,0.0099,0.0035,0.467,0.0043,9.1
0.4682,0.0602,0.0337,0.0036,0.4242,0.0102,4.4
0.4062,0.0218,0.0077,0.0021,0.558,0.0042,7.7
0.4429,0.0215,0.0082,0.0025,0.5211,0.0038,7.3
0.4957,0.0233,0.0073,0.0028,0.4676,0.0034,7.3
0.4317,0.0237,0.0086,0.0037,0.5291,0.0032,9.1
0.4519,0.018,0.0066,0.0026,0.5173,0.0036,7.8
0.4333,0.0216,0.0072,0.0022,0.5319,0.0037,7.8
0.6624,0.0188,0.0065,0.0044,0.3038,0.0040,8.2
0.1671,0.0456,0.0136,0.0115,0.7532,0.0090,8
0.4688,0.0233,0.0078,0.0029,0.4936,0.0036,8.4
0.4313,0.0234,0.0085,0.0028,0.5308,0.0032,8.4
0.6728,0.0201,0.0061,0.0030,0.2924,0.0056,7.4
0.6828,0.0394,0.0148,0.0030,0.2551,0.0050,4.5
0.6442,0.0209,0.0064,0.0039,0.3202,0.0043,6.5
0.6602,0.0158,0.0042,0.0030,0.3125,0.0042,6.1
0.6856,0.0207,0.0059,0.0044,0.2800,0.0034,7.8
0.6515,0.0211,0.0069,0.0049,0.3124,0.0032,7.4
0.4475,0.07,0.043,0.0033,0.4241,0.0121,5.5
0.4388,0.0687,0.028,0.0074,0.4461,0.0111,5.5
0.7289,0.0321,0.0089,0.0027,0.2225,0.0050,4.7
0.4467,0.0702,0.0467,0,0.4205,0.016,6.9
0.3462,0.0186,0.0065,0.0035,0.6216,0.0035,8.9
0.4963,0.0556,0.0275,0.0036,0.4093,0.0078,5.5
0.5028,0.0331,0.0123,0.0049,0.4438,0.0032,10.6
0.4391,0.0803,0.0512,0.0038,0.4121,0.0136,7.1
0.4279,0.0794,0.0516,0.004,0.4229,0.0142,7
0.1593,0.0654,0.0196,0.0083,0.7371,0.0103,8.6
0.4510,0.0567,0.0438,0.0031,0.4327,0.0128,7.2
0.4886,0.0279,0.0087,0.0037,0.4686,0.0025,10.8
0.4447,0.0851,0.0521,0,0.4012,0.017,6.9
0.6466,0.0742,0.0287,0.0031,0.2403,0.0071,6.9
0.7043,0.0350,0.0118,0.0033,0.2402,0.0053,5.9
0.5059,0.0345,0.0131,0.0048,0.4381,0.0036,10.6
0.4588,0.0345,0.0103,0.0038,0.4891,0.0036,10.8
0.5894,0.0736,0.0359,0.0033,0.2901,0.0077,6.9
0.4632,0.0393,0.0171,0.0058,0.471,0.0034,10.6
0.4781,0.043,0.0174,0.0068,0.4498,0.0049,10.6
0.6265,0.0590,0.0302,0.0038,0.2710,0.0096,4.7
0.6404,0.0818,0.0404,0.0031,0.2266,0.0077,5
0.7588,0.1155,0.0583,0,0.0674,0,5.3
0.4415,0.0714,0.0533,0,0.421,0.0128,6.8
0.5122,0.0476,0.0209,0.0099,0.4059,0.0036,10.6
0.4572,0.0445,0.0196,0.0071,0.4676,0.0041,10.3
0.4792,0.0495,0.0167,0.0057,0.4436,0.0051,11
0.6352,0.0193,0.0064,0.0049,0.3300,0.0042,6
0.6648,0.0217,0.0068,0.0040,0.2984,0.0044,6.1
0.4563,0.0532,0.0188,0.0071,0.4605,0.0041,11.3
0.4877,0.0559,0.0327,0.0037,0.4088,0.0112,5.3
0.4564,0.0873,0.0533,0.0037,0.3981,0.0013,5.3
0.6476,0.0910,0.0377,0.0034,0.2109,0.0094,5
