GDGT0,GDGT1,GDGT2,GDGT3,CREN,CREN'
0.314823893,0.063433602,0.055518745,0.016195596,0.514752545,0.035275618
0.295444934,0.060191962,0.059223787,0.017836994,0.525910087,0.041392236
0.308552495,0.061503417,0.056464416,0.016566577,0.521156899,0.035756195
0.291618829,0.063719862,0.062686567,0.017336395,0.523536165,0.041102181
0.297346752,0.064552201,0.064043916,0.018094948,0.513367897,0.042594287
0.280706378,0.063653137,0.064707433,0.020031629,0.525830258,0.045071165
0.322635712,0.056930693,0.061539775,0.019204507,0.493342438,0.046346876
0.271510516,0.067941364,0.066411727,0.020012747,0.527724665,0.04639898
0.276454266,0.062534235,0.064573749,0.020178458,0.528983692,0.0472756
0.277947465,0.062818163,0.063225412,0.018326206,0.534514356,0.043168397
0.312736922,0.062310462,0.062547384,0.018432525,0.504643669,0.039329037
0.283443311,0.063287343,0.063437313,0.017396521,0.530893821,0.041541692
0.282877949,0.06348416,0.063172963,0.017551503,0.532146636,0.040766789
0.310749926,0.061476273,0.060213062,0.016590172,0.51370584,0.037264727
0.284055823,0.064221317,0.062368779,0.017352106,0.531678399,0.040323577
0.441961467,0.050892533,0.049744581,0.014292001,0.411349417,0.031760002
0.288435479,0.06310736,0.06078439,0.017770723,0.530411553,0.039490495
0.299971965,0.063078217,0.059433698,0.016260163,0.52425007,0.037005887
0.307010178,0.064385421,0.059724654,0.016372121,0.516718563,0.035789063
0.306730197,0.063132817,0.055687909,0.015485408,0.524121501,0.034842168
0.29975127,0.062926508,0.059737664,0.016560726,0.525096197,0.035927635
0.292284962,0.063596069,0.060384146,0.015545706,0.529967238,0.03822188
0.2968523,0.062953995,0.056174334,0.015108959,0.532687651,0.03622276
0.283682663,0.064405644,0.060310487,0.016790142,0.536093221,0.038717844
0.314415972,0.064455274,0.058690982,0.01456794,0.513546088,0.034323744
0.374463421,0.060188145,0.057813499,0.013608549,0.460316011,0.033610375
0.242594651,0.062594085,0.072529374,0.01784833,0.553308615,0.051124944
0.312391531,0.059267615,0.066730302,0.016053454,0.50416522,0.041391878
0.297725452,0.061209394,0.062257289,0.017752574,0.518399803,0.042655489
0.325146848,0.059664215,0.051338976,0.013644142,0.518014893,0.032190925
