"","x","w"
"1",-31.0507463800901,0
"2",-30.609360292441,0
"3",-30.2470585282992,0
"4",-29.9261454179355,0
"5",-29.6322009175567,0
"6",-29.3577862859773,0
"7",-29.0984358242525,0
"8",-28.8512054191338,0
"9",-28.6140256717531,0
"10",-28.3853724033643,0
"11",-28.1640822322588,0
"12",-27.949241812172,0
"13",-27.7401175596642,0
"14",-27.5361090644913,0
"15",-27.33671706561,0
"16",-27.1415207641808,2.27764262732815e-321
"17",-26.950161333772,6.99477785877428e-317
"18",-26.7623296676511,1.65386132219956e-312
"19",-26.5777570981537,3.06760777515571e-308
"20",-26.396208247886,4.53516464703753e-304
"21",-26.2174754404271,5.41998795338877e-300
"22",-26.0413742719286,5.30229347632155e-296
"23",-25.8677400604576,4.29405223075457e-292
"24",-25.6964249683608,2.90803020456279e-288
"25",-25.5272956472494,1.66198757885787e-284
"26",-25.360231293509,8.08273230580998e-281
"27",-25.195122029685,3.37035757224599e-277
"28",-25.0318675470481,1.21335381900391e-273
"29",-24.8703759593464,3.79535605900847e-270
"30",-24.7105628287214,1.03755874175763e-266
"31",-24.5523503330372,2.49238532337645e-263
"32",-24.3956665501839,5.287295927088e-260
"33",-24.2404448397732,9.9514399862834e-257
"34",-24.0866233064173,1.66897542050819e-253
"35",-23.9341443317387,2.50424590014381e-250
"36",-23.7829541645958,3.37445585342566e-247
"37",-23.6330025608604,4.09791477010928e-244
"38",-23.484242465579,4.49979069651146e-241
"39",-23.3366297315443,4.48170397607039e-238
"40",-23.1901228692774,4.06057419459122e-235
"41",-23.0446828242169,3.35601879543e-232
"42",-22.9002727775623,2.53680035005653e-229
"43",-22.7568579677561,1.75810101402387e-226
"44",-22.6144055300352,1.11972329093614e-223
"45",-22.4728843518534,6.5682245325211e-221
"46",-22.3322649422868,3.55605007960247e-218
"47",-22.1925193137947,1.78048046509904e-215
"48",-22.0536208749294,8.26001284273822e-213
"49",-21.9155443327736,3.55699957213031e-210
"50",-21.7782656040423,1.42427959363643e-207
"51",-21.6417617339227,5.31165142116329e-205
"52",-21.5060108218394,1.84786077791986e-202
"53",-21.3709919534316,6.00574337774788e-200
"54",-21.2366851381165,1.82619209687665e-197
"55",-21.1030712516827,5.20242930568068e-195
"56",-20.9701319834277,1.39033342871868e-192
"57",-20.8378497874009,3.49007201302242e-190
"58",-20.7062078373711,8.23910406470504e-188
"59",-20.5751899851707,1.83131257579344e-185
"60",-20.4447807221134,3.83679774491831e-183
"61",-20.3149651432095,7.58521217682066e-181
